Date,Time,Lux,Iin (mA),Vin,Iout (mA),Vout,Notes,Efficiency,Input power (W),Output power (W)
2/26,9:38,,0,6.7,0,3.171,Open circuit,0.00,0.00,0.00
2/26,9:40,,231,4.93,285.3,3.573,White light used for this experiment instead of the overhead high power light,0.90,1.14,1.02
2/26,9:45,,232,4.9,263.6,3.904,-,0.91,1.14,1.03
2/26,9:50,,232,4.9,260.9,3.939,-,0.90,1.14,1.03
2/26,9:55,,232,4.9,258.1,3.978,-,0.90,1.14,1.03
2/26,10:00,,231,4.9,256.5,4.001,-,0.91,1.13,1.03
2/26,10:05,,231,4.9,255.5,4.013,-,0.91,1.13,1.03
2/26,10:10,,231,4.9,254.1,4.03,-,0.90,1.13,1.02
2/26,10:15,,230,4.9,252.5,4.053,-,0.91,1.13,1.02
2/26,10:20,,230,4.9,250.1,4.088,-,0.91,1.13,1.02
2/26,10:25,,230,4.89,247.2,4.134,-,0.91,1.12,1.02
2/26,10:30,,229,4.89,245.4,4.162,-,0.91,1.12,1.02
2/26,10:35,,229,4.89,242.5,4.205,-,0.91,1.12,1.02
2/26,10:40,,228,4.89,237.6,4.278,-,0.91,1.11,1.02
2/26,10:45,,158,6.75,192.8,4.294,-,0.78,1.07,0.83
2/26,,,,6.98,,4.16,Open circuit,0.00,0.00,0.00
